,beef,businessName,case_number,chicken,city,lat,link,long,pork,product_desc,qty_recovered,recall_announcement,recall_date,recall_reason,state,street,zip
0,0,Lee Bros. Foodservice Inc.,074-2013,1,San Jose,37.369797,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-074-2013-release,-121.89689,1,Dried Sausage Products,740 pounds,California Firm Recalls Dried Sausage Products Due To Possible Contamination With Staphylococcus Aureus Enterotoxin,"Dec 19, 2013",To Possible Contamination With Staphylococcus Aureus Enterotoxin,CA,660 E Gish Rd,95112
1,1,Yauk’s Specialty Meats,073-2013 EXP 2,1,Windsor,40.475967,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-073-2013-expansion-2,-104.90787,1,Meat and Poultry Products That Were,"14,415  pounds",Colorado Firm Recalls Meat and Poultry Products That Were Produced Under Insanitary Conditions,"Dec 16, 2013",Under Insanitary Conditions,CO,721 Locust St,80550
2,1,Yauk’s Specialty Meats,073-2013 expansion,1,Windsor,40.475967,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-073-2013-release-expansion,-104.90787,1,Meat And Poultry Products That Were,"14,415  pounds",Colorado Firm Recalls Meat And Poultry Products That Were Produced Under Insanitary Conditions,"Dec 12, 2013",Under Insanitary Conditions,CO,721 Locust St,80550
3,0,Yauk’s Specialty Meats,073-2013,1,Windsor,40.475967,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-073-2013-release,-104.90787,1,Meat And Poultry Products That Were,"14,415  pounds",Colorado Firm Recalls Meat And Poultry Products That Were Produced Under Insanitary Conditions,"Dec 09, 2013",Under Insanitary Conditions,CO,721 Locust St,80550
4,0,"StockPot, Inc.",072-2013,1,Bay City,43.60017,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-072-2013-release,-83.887474,0,Chicken Noodle Soup,"4,656 pounds",Washington Firm Recalls Chicken Noodle Soup Due To Misbranding and Undeclared Allergen,"Dec 06, 2013",To Misbranding and Undeclared Allergen,MI,1007 Washington Ave,48708
5,0,Mary Ann’s Specialty Foods,070-2013,1,Webster City,42.470562,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rnr-070-2013,-93.788956,1,,1429 pounds,Recall Notification Report 070-2013,"Nov 27, 2013",,IA,1511 E 2nd St,50595
6,1,DelMonaco Specialty Foods,069-2013,1,Hopkinsville,36.78356,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-069-2013-release,-87.54637,1,Bolognese Sauce Products,"3,122 pounds",California Firm Recalls Bolognese Sauce Products Due To Undeclared Allergen And Misbranding,"Nov 22, 2013",To Undeclared Allergen And Misbranding,KY,5055 Huffman Mill Road,42240
7,0,"Intevation Food Group, LLC",068-2013,1,Plover,44.45647,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-068-2013-release,-89.57192,0,Frozen Chicken Products,"37,064 pounds",Wisconsin Firm Recalls Frozen Chicken Products Due To Misbranding and Undeclared Allergen,"Nov 22, 2013",To Misbranding and Undeclared Allergen,WI,3975 Tall Pine Dr,54467
8,0,Glass Onion Catering,065-2013,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-065-2013-release,,1,Grilled Chicken Salad Products,112 pounds,California Firm Recalls Grilled Chicken Salad Products Due To Possible E. Coli O157:H7 Contamination,"Nov 10, 2013",To Possible E. Coli O157:H7 Contamination,,,
9,0,Wycen Foods Inc.,064-2013,1,San Francisco,37.793556,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rnr-064-2013,-122.40777,0,,1 pound,Recall Notification Report 064-2013,"Nov 07, 2013",,CA,832 Stockton St,94108
