,beef,businessName,case_number,chicken,city,lat,link,long,pork,qty_recovered,recall_announcement,recall_date,state,street,zip
0,0.0,ayne Farms,082-2012,1.0,,,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index106a,,0.0,"1,476 pounds", BBQ Chicken Wing Products (Misbranding and Undeclared Allergen),"Dec 21, 2012",,,
1,1.0,tehouwer's Frozen Foods,081-2012,1.0,Hialeah,25.82674,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index107a,-80.28149,0.0,"2,685 pounds", Pigs in the Blanket Products (Misbranding and Undeclared Allergen),"Dec 21, 2012",FL,10840 NW 138 St Unit#3,33018
2,0.0,"iorucci Foods, Inc.",080-2012,1.0,,,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index213a,,0.0,"2,681 pounds", Mortadella (Misbranding and Undeclared Nut Allergen),"Dec 14, 2012",,,
3,0.0,uzanna's Kitchen,079-2012,1.0,Saint Charles,38.74263,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index108a,-90.6091,0.0,"16,024 pounds", Breaded Chicken Products (Foreign Materials),"Dec 6, 2012",MO,4600 S Saint Peters Pkwy,63304
4,0.0,Not Found,078-2012,0.0,Paradise,39.754246,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index110a,-121.628296,0.0,58 pounds, Beef and Cheese Pie Products (Without Benefit of Inspection),"Dec 4, 2012",CA,6044 Skyway,95969
5,0.0,Not Found,077-2012,0.0,Kerrville,30.037859,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index95a,-99.13627,0.0,66 pounds, Jalapeno Vienna Sausage Products (monosodium glutamate (MSG)),"Nov 29, 2012",TX,1509 Water St,78028
6,0.0,Global Culinary Investments,RNR-076-2012,1.0,Spring,-10,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index573,-10,0.0,"1,340 pounds", Chicken Empanadas (monosodium glutamate (MSG)),"Nov 21, 2012",TX,25143 Melda Rd,77380
7,0.0,Not Found,RNR-075-2012,0.0,Paradise,39.754246,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index45a,-121.628296,0.0,"5,102 pounds", Kielbasa Products (foreign materials),"Nov 20, 2012",CA,6044 Skyway,95969
8,1.0,Black Earth Meat Market Inc.,073-2012,1.0,Black Earth,43.137012,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index470,-89.74799,0.0,48 pounds, Beef Tongue Products (specified risk materials),"Nov 9, 2012",WI,1345 Mills St,53515
9,0.0,Not Found,072-2012,0.0,Paradise,39.754246,http://www.fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/recall-case-archive-2010/!ut/p/a1/jZDBCoJAEIafpQdYdlZF9CgLppa7SGS2lxjEdMFUTDz09CmdDKXmNj_fz8cMVTSjqsFRlzjotsF63pV9gwRs5nKIpO_5EArTTx2xZyDtCbguAJfNQJrIA-fgCPPP_sZ48Ksf_SEw-pjHJVUdDhXRzb2lWV_kWNckx2dBsM8rPRarITGAAb1QtdRMIZs1JyuIhAnS-gZW_vABtg_tHufsdQxAh97uDXOwxs4!/?1dmy&current=true&urile=wcm%3apath%3a%2Ffsis-archives-content%2Finternet%2Fmain%2Ftopics%2Frecalls-and-public-health-alerts%2Frecall-case-archive%2Farchives%2Fct_index112a,-121.628296,0.0,"26,662 pounds", Frozen Chicken Products (foreign materials),"Nov 2, 2012",CA,6044 Skyway,95969
