,beef,businessName,case_number,chicken,city,lat,link,long,pork,product_desc,qty_recovered,recall_announcement,recall_date,recall_reason,state,street,zip
0,0,"Campos Foods, LLC",093-2014,1,San Pablo,37.9597,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-093-2014-release,-122.3566,0,Chicken Products,"5,308 pounds",Tennessee Firm Recalls Chicken Products Due to Misbranding and Undeclared Allergens,"Dec 31, 2014",to Misbranding and Undeclared Allergens,CA,1847 Rumrill Blvd,94806
1,0,"Garcia Foods, Inc.",089-2014,1,Bronx,40.821,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-089-2014-release,-73.89787,1,Pork Products,"48,396 pounds",Texas Firm Recalls Pork Products Due To Misbranding and Undeclared Allergens,"Dec 27, 2014",To Misbranding and Undeclared Allergens,NY,908 E 163rd St,10459
2,1,HEB Meat Center,090-2014,1,Clute,29.014734,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-090-2014-release,-95.42013,1,Pork Products,"23,355 pounds",Texas Firm Recalls Pork Products Due To Misbranding and Undeclared Allergens,"Dec 27, 2014",To Misbranding and Undeclared Allergens,TX,636 Dixie Dr,77531
3,0,DaBecca Natural Foods,088-2014,1,Northport,40.899666,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/rnr-088-2014,-73.34844,1,,"2,595 pounds",Recall Notification Report 088-2014 (DaBecca Sliced Uncured Apple Smoked Bacon),"Dec 23, 2014",,NY,81 Scudder Ave,11768
4,0,"BMG Trading, Inc. an Oakville, Ontario establishment,",087-2014,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-087-2014-release,,1,Pork Products,"15,236 pounds",Canadian Firm Recalls Pork Products Produced Without Benefit of Inspection,"Dec 22, 2014",Without Benefit of Inspection,,,
5,0,"Katadyn North American Foods, LLC",085-2014,1,Rocklin,38.822704,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/rnr-085-2014,-121.3064,1,,958 pounds,Recall Notification Report 085-2014 (Spicy Sausage Pasta),"Dec 19, 2014",,CA,130 Cyber Ct,95765
6,0,Real Foods LLC,084-2014,1,San Francisco,37.79633,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-084-2014-release,-122.421844,1,Chef Salads with Ham and Turkey,34 pounds,Washington Firm Recalls Chef Salads with Ham and Turkey Due To Misbranding and Undeclared Allergens,"Dec 10, 2014",To Misbranding and Undeclared Allergens,CA,2140 Polk St,94109
7,0,"Quality Meats, Inc.",083-2014,1,San Diego,32.694748,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-083-2014-release,-117.1385,1,Pork Belly Product,531 pounds,Nebraska Firm Recalls Pork Belly Product Produced Without Import Inspection,"Dec 04, 2014",Without Import Inspection,CA,2363 Newton Ave,92113
8,1,"apar USA, Inc. (DBA Fabrique Delices)",081-2014,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-081-2014-release,,1,Sausage Products,0 pounds,California Firm Recalls Sausage Products Due To Misbranding and Undeclared Allergen,"Nov 19, 2014",To Misbranding and Undeclared Allergen,,,
9,0,"K. Heeps, Inc.",080-2014,1,Allentown,40.592377,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-080-2014-release,-75.573746,1,Pork Products,307 pounds,Pennsylvania Firm Recalls Pork Products Due To Misbranding and Undeclared Allergens,"Nov 19, 2014",To Misbranding and Undeclared Allergens,PA,5239 Tilghman St,18104
10,1,CS Best Food Inc.,076-2014,1,Springfield,38.74417,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-076-2014-release,-77.20059,1,Pork Products,"3,868 pounds",California Firm Recalls Pork Products Due To Misbranding And Undeclared Allergens,"Nov 06, 2014",To Misbranding And Undeclared Allergens,VA,7906 Yarnwood Ct,22153
11,0,Aspen Foods Division of Koch Meats,073-2014,1,Kansas City,39.14141,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-073-2014-release,-94.574295,0,Chicken Products,"1,234 pounds",Illinois Firm Recalls Chicken Products Due to Possible Salmonella Enteritidis Contamination,"Oct 24, 2014",to Possible Salmonella Enteritidis Contamination,MO,528 E 19th Ave,64116
12,0,Taylor Farms,072-2014,1,Woodbridge,38.63085,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-072-2014-release,-77.27309,0,Salad with Chicken,0 pounds,New Jersey Firm Recalls Salad with Chicken Due To Misbranding and Undeclared Allergen,"Oct 24, 2014",To Misbranding and Undeclared Allergen,VA,14840 Build America Dr,22191
13,0,E.&B.’s Natural Way,071-2014,1,Lake Zurich,42.193913,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-071-2014-release,-88.10959,0,Lamb Products,540 pounds,Maryland Firm Recalls Lamb Products Produced Without Import Inspection,"Oct 17, 2014",Without Import Inspection,IL,123 S Rand Rd,60047
14,0,Shop Packaging LLC,070-2014,1,Carrollton,32.957268,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-070-2014-release,-96.88373,0,Chicken Products,"30,580 pounds",Massachusetts Firm Recalls Chicken Products Due to Possible Misbranding and Undeclared Allergen,"Oct 16, 2014",to Possible Misbranding and Undeclared Allergen,TX,1745 Hayden Dr,75006
15,0,Fresh Food Manufacturing,069-2014,1,Circleville,39.592873,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-069-2014-release,-82.94873,0,Italian Style Wedding Soup,92 pounds,Pennsylvania Firm Recalls Italian Style Wedding Soup Due to Misbranding and Undeclared Allergens,"Oct 14, 2014",to Misbranding and Undeclared Allergens,OH,161 Edison Ave,43113
16,1,Galant Food Company,067-2014-EXP,1,San Francisco,37.76211,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-067-2014-release-expansion,-122.407234,0,,23 pounds,California Firm Expands Recall of Beef Products Due To Possible Processing Flaw,"Oct 13, 2014",,CA,585 Potrero Ave,94110
17,1,Galant Food Company,067-2014,1,San Francisco,37.76211,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-067-2014-release,-122.407234,0,Beef Products,324 pounds,California Firm Recalls Beef Products Due To Possible Processing Flaw,"Oct 06, 2014",To Possible Processing Flaw,CA,585 Potrero Ave,94110
18,0,Olson Meat,064-2014,1,Wellesley Hills,42.307644,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-064-2014-release,-71.27834,1,Pork Blood Product,0 pounds,California Firm Recalls Pork Blood Product Produced Without Benefit of Inspection,"Oct 02, 2014",Without Benefit of Inspection,MA,9 Forest St,02481
19,1,Monogram Comfort Foods,059-2014,1,Bristol,41.7166,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-059-2014-release,-85.81177,0,Uncured Beef Corn Dogs,176 pounds,Indiana Firm Recalls Uncured Beef Corn Dogs Due To Possible Temperature Abuse,"Sep 23, 2014",To Possible Temperature Abuse,IN,605 Kesco Dr,46507
20,0,Perdue Food LLC,056-2014,1,Tremont,40.526108,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-056-2014-release,-89.49113,0,"Fresh, Raw Chicken Products",0 pounds,"Maryland Firm Recalls Fresh, Raw Chicken Products Due To Possible Processing Flaw","Sep 06, 2014",To Possible Processing Flaw,IL,201 S Sampson St,61568
21,1,TNUVA USA,055-2014,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-055-2014-release,,1,Breaded Chicken Product,"2,088 pounds",New Jersey Firm Recalls Breaded Chicken Product For Possible Listeria Contamination,"Aug 27, 2014",Possible Listeria Contamination,,,
22,0,Perdue,052-2014,1,,,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-052-2014-release,,0,Chicken Nugget Product,"1,093 pounds",Georgia Firm Recalls Chicken Nugget Product Due To Possible Foreign Matter Contamination,"Aug 12, 2014",To Possible Foreign Matter Contamination,,,
23,0,Oberto’s Brands,051-2014,1,Nashville,36.10477,http://www.fsis.usda.gov//wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/rnr-051-2014,-86.75285,0,,"2,703 pounds",Recall Notification Report 051-2014,"Aug 09, 2014",,TN,2960 Armory Dr,37204
